Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Present_Age_CST,Customer_Since_year,AcceptedCmp
Graduation,Single,16813.0,0,0,49,4.0,8.0,11,12,2,13,1,2,0,3,7,0,0,74,11,1
Master,Single,64191.0,0,1,30,420.0,15.0,186,151,38,15,3,5,3,13,3,0,0,61,11,0
PhD,Married,71969.0,0,1,59,1000.0,0.0,76,0,0,10,3,3,4,9,8,0,0,53,12,1
PhD,Married,29187.0,1,0,43,26.0,0.0,6,0,0,2,1,1,0,3,8,0,0,56,11,0
Graduation,Married,4428.0,0,1,0,16.0,4.0,12,2,4,321,0,25,0,0,1,0,0,55,11,0
Graduation,Together,89891.0,0,0,17,412.0,22.0,132,59,28,183,1,11,6,8,4,0,0,33,11,1
Graduation,Single,82014.0,0,0,48,980.0,37.0,265,35,163,31,1,3,6,12,6,0,1,63,12,0
Graduation,Together,48794.0,1,1,97,25.0,0.0,11,3,0,15,1,1,0,3,4,0,0,71,10,0
Graduation,Married,77583.0,0,0,93,372.0,23.0,384,250,12,108,1,4,5,9,2,0,0,46,10,1
Master,Together,33564.0,0,1,51,61.0,0.0,3,0,0,7,1,1,1,3,5,0,0,58,10,0
Graduation,Together,38285.0,2,1,96,2.0,0.0,5,2,0,1,1,0,0,3,2,0,0,65,10,0
PhD,Divorced,78825.0,0,0,35,483.0,74.0,114,169,37,18,1,5,10,13,3,0,1,60,12,0
Graduation,Single,36065.0,1,1,54,18.0,7.0,34,10,2,3,3,3,0,3,8,0,0,56,11,0
Basic,Single,15253.0,1,0,13,1.0,3.0,3,8,1,13,2,1,0,3,7,0,0,32,11,0
Master,Married,57183.0,1,1,51,464.0,5.0,64,7,0,70,8,9,1,7,8,0,0,58,11,0
Graduation,Single,48789.0,0,0,94,351.0,16.0,156,7,5,145,1,6,4,7,6,0,0,32,12,0
Graduation,Single,37774.0,2,0,28,173.0,8.0,107,7,2,176,4,7,2,3,9,1,1,47,12,1
Graduation,Together,81205.0,0,0,43,724.0,74.0,929,97,55,130,1,5,6,7,2,0,1,54,10,3
Graduation,Married,81320.0,0,0,61,183.0,33.0,493,59,103,57,1,4,3,10,2,0,0,66,11,0
Graduation,Divorced,78901.0,0,1,99,321.0,11.0,309,33,26,34,3,9,3,5,4,0,0,51,11,0
Graduation,Married,94642.0,0,0,35,879.0,81.0,797,106,143,143,0,5,7,9,1,0,0,73,10,2
PhD,Single,52614.0,0,1,63,789.0,0.0,142,12,9,38,2,2,4,8,8,0,0,49,12,0
Master,Married,22701.0,1,0,2,2.0,4.0,9,0,4,5,1,1,0,3,5,0,0,47,11,0
Graduation,Together,28427.0,1,0,67,18.0,3.0,19,3,3,6,2,2,0,3,8,0,0,41,11,0
Graduation,Single,33279.0,0,0,29,10.0,3.0,3,0,0,0,1,0,0,3,3,0,0,58,10,0
Graduation,Together,57867.0,1,0,48,344.0,35.0,178,15,23,17,7,7,2,9,6,0,0,46,11,0
PhD,Single,48767.0,1,2,79,28.0,1.0,21,3,0,10,3,2,1,3,5,0,0,74,10,0
2n Cycle,Divorced,41769.0,0,1,31,302.0,29.0,131,32,0,27,6,8,1,7,8,0,0,69,11,0
2n Cycle,Married,17003.0,1,0,37,2.0,5.0,12,4,8,7,3,2,0,4,5,0,0,49,11,0
PhD,Married,65526.0,0,1,22,397.0,19.0,69,12,0,9,1,4,4,8,2,0,0,60,10,0
Master,Married,29543.0,2,0,47,17.0,3.0,18,3,4,18,2,3,1,2,7,0,0,56,10,0
