,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Present_Age_CST,Customer_Since_year,AcceptedCmp
0,Graduation,Single,58138.0,0,0,58,635.0,81.0,546,172,88,88,3,8,10,4,7,0,1,67,12,0
1,Graduation,Single,46344.0,1,1,38,11.0,1.0,6,2,1,6,2,1,1,2,5,0,0,70,10,0
2,Graduation,Together,71613.0,0,0,26,426.0,49.0,127,111,21,42,1,8,2,10,4,0,0,59,11,0
3,Graduation,Together,26646.0,1,0,26,11.0,4.0,20,10,3,5,2,2,0,4,6,0,0,40,10,0
4,PhD,Married,58293.0,1,0,94,173.0,43.0,118,46,27,15,5,5,3,6,5,0,0,43,10,0
5,Master,Together,62513.0,0,1,16,520.0,42.0,98,0,42,14,2,6,4,10,6,0,0,57,11,0
6,Graduation,Divorced,55635.0,0,1,34,235.0,65.0,164,50,49,27,4,7,3,7,6,0,0,53,12,0
7,PhD,Married,33454.0,1,0,32,76.0,10.0,56,3,1,23,2,4,0,4,8,0,0,39,11,0
8,PhD,Together,30351.0,1,0,19,14.0,0.0,24,3,3,2,1,3,0,2,9,0,1,50,11,0
9,PhD,Together,5648.0,1,1,68,28.0,0.0,6,1,1,13,1,1,0,0,20,0,0,74,10,1
10,Graduation,Married,51381.5,1,0,11,5.0,5.0,6,0,2,1,1,1,0,2,7,0,0,41,11,0
11,Basic,Married,7500.0,0,0,59,6.0,16.0,11,11,1,16,1,2,0,3,8,0,0,48,12,0
12,Graduation,Divorced,63033.0,0,0,82,194.0,61.0,480,225,112,30,1,3,4,8,2,0,0,65,11,0
13,Master,Divorced,59354.0,1,1,53,233.0,2.0,53,3,5,14,3,6,1,5,6,0,0,72,11,0
14,Graduation,Married,17323.0,0,0,38,3.0,14.0,17,6,1,5,1,1,0,3,8,0,0,37,12,0
15,PhD,Single,82800.0,0,0,23,1006.0,22.0,115,59,68,45,1,7,6,12,3,0,1,78,12,2
16,Graduation,Married,41850.0,1,1,51,53.0,5.0,19,2,13,4,3,3,0,3,8,0,0,44,12,0
17,Graduation,Together,37760.0,0,0,20,84.0,5.0,38,150,12,28,2,4,1,6,7,0,0,78,12,0
18,Master,Married,76995.0,0,1,91,1012.0,80.0,498,0,16,176,2,11,4,9,5,0,0,75,11,1
19,2n Cycle,Single,33812.0,1,0,86,4.0,17.0,19,30,24,39,2,2,1,3,6,0,0,39,12,0
20,Graduation,Married,37040.0,0,0,41,86.0,2.0,73,69,38,48,1,4,2,5,8,0,0,42,12,0
21,Graduation,Married,2447.0,1,0,42,1.0,1.0,1725,1,1,1,15,0,28,0,1,0,0,45,11,0
22,PhD,Married,58607.0,0,1,63,867.0,0.0,86,0,0,19,3,2,3,9,8,0,0,75,12,1
23,PhD,Married,65324.0,0,1,0,384.0,0.0,102,21,32,5,3,6,2,9,4,0,0,70,10,0
24,Graduation,Together,40689.0,0,1,69,270.0,3.0,27,39,6,99,7,7,1,5,8,0,0,73,11,0
25,Graduation,Single,18589.0,0,0,89,6.0,4.0,25,15,12,13,2,2,1,3,7,0,0,55,11,0
26,Graduation,Married,53359.0,1,1,4,173.0,4.0,30,3,6,41,4,5,1,4,7,0,0,48,11,0
27,Graduation,Single,51381.5,1,0,19,5.0,1.0,3,3,263,362,0,27,0,0,1,0,0,38,11,0
28,Graduation,Married,38360.0,1,0,26,36.0,2.0,42,20,21,10,2,2,1,4,3,0,0,35,11,0
29,PhD,Married,84618.0,0,0,96,684.0,81.0,801,21,66,0,1,6,9,10,2,0,0,59,11,1
30,Master,Divorced,10979.0,0,0,34,8.0,4.0,10,2,2,4,2,3,0,3,5,0,0,35,10,0
31,Master,Together,38620.0,0,0,56,112.0,17.0,44,34,22,89,1,2,5,3,3,0,0,61,11,0
32,Graduation,Together,40548.0,0,1,31,110.0,0.0,5,2,0,3,2,2,1,4,5,0,0,54,12,1
33,PhD,Divorced,46610.0,0,2,8,96.0,12.0,96,33,22,43,6,4,1,6,6,0,1,72,12,0
34,Master,Married,68657.0,0,0,4,482.0,34.0,471,119,68,22,1,3,5,9,7,0,0,78,11,0
35,Master,Single,49389.0,1,1,55,40.0,0.0,19,2,1,3,1,2,0,3,7,0,0,73,11,0
36,PhD,Married,67353.0,0,1,37,702.0,17.0,151,0,8,35,5,5,6,12,2,0,0,54,11,0
37,2n Cycle,Married,23718.0,1,0,76,6.0,3.0,14,15,7,36,3,3,1,2,7,0,0,48,11,0
38,Graduation,Widow,42429.0,0,1,99,55.0,0.0,6,2,0,4,2,1,1,3,5,0,0,51,10,0
39,PhD,Divorced,48948.0,0,0,53,437.0,8.0,206,160,49,42,2,7,10,5,6,0,1,81,11,1
40,Graduation,Married,80011.0,0,1,3,421.0,76.0,536,82,178,102,2,8,6,5,4,0,0,44,11,0
41,Master,Married,20559.0,1,0,88,13.0,1.0,29,3,0,7,2,2,0,3,8,0,0,39,11,0
42,Graduation,Together,21994.0,0,1,4,9.0,0.0,6,3,1,3,1,0,0,3,5,0,0,67,12,0
43,PhD,Single,51381.5,0,0,80,81.0,11.0,50,3,2,39,1,1,3,4,2,0,0,65,11,0
44,Master,Married,7500.0,1,0,19,3.0,1.0,10,3,2,12,3,2,0,3,5,0,0,49,11,0
45,Graduation,Single,79941.0,0,0,72,123.0,81.0,266,227,30,174,1,2,4,9,1,0,0,48,10,0
46,2n Cycle,Married,7500.0,0,0,24,3.0,18.0,14,15,22,50,3,3,1,3,9,0,1,28,12,0
47,Graduation,Together,41728.0,1,0,92,13.0,6.0,15,3,5,13,1,2,0,2,10,0,0,56,11,0
48,Graduation,Single,51381.5,2,1,96,48.0,5.0,48,6,10,7,3,2,1,4,6,0,0,73,10,0
49,PhD,Married,72550.0,1,1,39,826.0,50.0,317,50,38,38,9,5,2,12,8,0,0,70,12,0
50,Graduation,Widow,65486.0,0,1,29,245.0,19.0,125,37,67,14,1,4,2,10,2,0,0,67,10,0
51,Master,Married,79143.0,0,0,2,650.0,37.0,780,27,167,32,1,6,9,13,3,0,0,60,12,0
52,Graduation,Single,35790.0,1,0,54,12.0,6.0,20,30,1,3,2,2,0,3,7,0,0,47,11,0
53,Graduation,Divorced,82582.0,0,0,54,510.0,81.0,550,156,40,241,1,4,9,7,1,0,1,47,10,2
54,Graduation,Married,66373.0,1,1,57,328.0,9.0,124,12,24,109,7,4,2,10,3,0,0,46,11,0
55,Master,Together,82384.0,0,0,55,984.0,51.0,432,180,120,190,1,3,10,13,1,0,1,69,12,1
56,Graduation,Divorced,70287.0,0,0,30,295.0,35.0,482,121,120,40,1,5,5,10,3,0,1,58,11,0
57,Graduation,Single,27938.0,1,0,31,13.0,0.0,8,2,1,5,1,1,0,4,3,0,0,36,10,0
58,Graduation,Single,51381.5,1,0,57,11.0,3.0,22,2,2,6,2,2,0,3,6,0,0,42,11,0
59,PhD,Married,55954.0,0,1,63,447.0,0.0,28,0,0,43,3,8,2,6,7,0,0,56,10,0
60,Master,Single,75777.0,0,0,12,712.0,26.0,538,69,13,80,1,3,6,11,1,0,1,42,11,2
61,Graduation,Together,66653.0,1,1,18,452.0,18.0,102,16,18,6,4,4,2,12,3,0,0,49,12,0
62,Graduation,Single,61823.0,0,1,26,523.0,7.0,134,37,14,169,4,8,2,10,7,0,0,72,11,0
63,PhD,Widow,67680.0,0,1,8,546.0,0.0,48,0,6,6,1,7,3,8,5,0,0,73,11,0
64,Graduation,Together,70666.0,0,0,29,398.0,40.0,367,119,122,30,1,7,4,4,4,0,0,76,11,0
65,Graduation,Married,25721.0,1,0,75,1.0,3.0,6,3,6,15,1,1,1,2,7,0,1,53,11,0
66,Graduation,Together,32474.0,1,1,0,10.0,0.0,1,0,0,0,1,1,0,2,7,0,0,57,10,0
67,2n Cycle,Single,88194.0,0,1,19,688.0,14.0,309,201,24,38,1,11,10,10,5,0,1,45,10,2
68,Graduation,Together,69096.0,0,1,4,247.0,49.0,159,7,82,109,1,5,2,10,4,0,0,66,11,0
69,Graduation,Together,74854.0,1,2,90,856.0,59.0,487,58,29,73,7,2,5,5,5,0,0,54,11,0
70,Master,Married,66991.0,0,0,1,496.0,36.0,460,189,60,12,3,4,8,6,3,0,0,70,12,0
71,2n Cycle,Married,51381.5,1,0,25,25.0,3.0,43,17,4,17,3,3,0,3,8,0,0,51,12,0
72,Graduation,Married,65031.0,0,1,29,258.0,81.0,291,84,37,86,4,10,3,13,7,0,0,65,11,0
73,PhD,Married,60631.0,1,1,88,565.0,6.0,65,0,6,19,5,9,2,8,7,0,0,49,11,1
74,Graduation,Married,28332.0,0,0,58,14.0,10.0,13,4,15,9,1,2,1,4,2,0,0,72,10,0
75,Graduation,Divorced,40246.0,1,0,68,2.0,1.0,6,2,1,1,1,1,0,2,6,0,0,47,12,0
76,Master,Married,75251.0,0,0,34,721.0,81.0,925,97,18,18,1,7,6,5,5,0,1,52,12,0
77,Graduation,Single,75825.0,0,0,40,1032.0,81.0,779,137,105,51,0,5,8,9,4,0,1,48,12,1
78,2n Cycle,Together,26326.0,0,0,12,1.0,0.0,5,0,3,9,1,0,0,3,3,1,0,48,11,0
79,Graduation,Together,56046.0,0,0,9,577.0,0.0,64,0,0,51,2,10,1,8,8,0,1,59,11,1
80,Graduation,Single,29760.0,1,0,87,64.0,4.0,68,7,5,17,4,3,1,4,8,0,0,39,12,0
81,Graduation,Married,26304.0,1,0,5,4.0,1.0,5,2,0,4,1,1,0,2,7,0,0,55,11,0
82,2n Cycle,Married,23559.0,1,0,87,25.0,5.0,19,7,0,23,3,3,0,3,7,0,0,51,11,0
83,Master,Together,38620.0,0,0,56,112.0,17.0,44,34,22,89,1,2,5,3,3,0,0,61,11,0
84,Graduation,Divorced,81361.0,0,0,18,163.0,23.0,424,27,65,76,1,3,10,13,1,0,0,37,10,0
85,Graduation,Married,29440.0,1,1,95,17.0,8.0,14,10,4,3,2,1,0,4,7,0,0,64,11,0
86,Master,Married,36138.0,1,1,48,130.0,0.0,16,0,0,5,5,3,1,4,7,0,0,54,11,1
87,Graduation,Single,50388.0,0,1,3,292.0,6.0,37,0,3,34,4,6,1,6,7,0,1,67,10,2
88,Graduation,Married,79593.0,0,0,70,350.0,60.0,568,110,133,145,1,5,6,7,2,0,0,51,10,1
89,Graduation,Together,54178.0,0,1,79,135.0,9.0,39,4,0,7,1,2,2,5,2,0,0,57,10,0
90,PhD,Married,51381.5,2,1,4,230.0,42.0,192,49,37,53,12,7,2,8,9,0,0,67,12,0
91,Graduation,Single,51381.5,1,1,45,7.0,0.0,8,2,0,1,1,1,0,2,7,0,0,67,10,0
92,Master,Together,51381.5,0,0,87,445.0,37.0,359,98,28,18,1,2,4,8,1,0,0,51,11,0
93,Master,Single,42394.0,1,0,69,15.0,2.0,10,0,1,4,1,1,0,3,7,0,0,52,10,0
94,PhD,Married,23626.0,1,0,84,27.0,2.0,14,0,0,0,3,3,1,3,5,0,0,54,10,0
95,Graduation,Married,30096.0,1,0,30,5.0,3.0,11,12,5,9,1,2,0,3,6,0,0,41,10,0
96,Graduation,Widow,47916.0,0,1,72,505.0,0.0,26,0,0,75,5,7,4,6,6,0,0,64,12,1
97,Graduation,Divorced,51813.0,1,1,37,51.0,2.0,7,0,1,2,2,2,0,3,7,0,0,52,11,0
98,2n Cycle,Married,78497.0,0,0,44,207.0,26.0,447,75,0,223,1,5,7,12,2,0,0,73,11,1
99,PhD,Married,50150.0,0,0,32,135.0,46.0,92,65,61,11,2,5,2,7,5,0,0,41,11,0
100,2n Cycle,Single,47823.0,0,1,0,53.0,1.0,5,2,1,10,2,2,0,3,8,0,0,64,11,0
101,PhD,Single,34554.0,0,1,43,41.0,1.0,6,2,0,5,2,2,0,3,6,0,0,65,10,0
102,Graduation,Together,85693.0,0,1,59,386.0,81.0,183,185,132,111,2,9,5,11,5,0,0,45,11,0
103,PhD,Married,65846.0,0,0,68,562.0,81.0,276,80,40,81,1,6,3,6,4,0,0,79,11,0
104,Graduation,Married,87195.0,0,0,35,217.0,76.0,690,50,26,38,1,3,11,5,1,0,1,65,10,0
105,Basic,Together,24594.0,1,0,94,1.0,3.0,6,10,0,9,1,1,0,3,5,0,0,45,11,0
106,Graduation,Married,49096.0,1,1,15,144.0,1.0,32,2,1,7,4,4,1,4,7,0,0,60,11,0
107,Graduation,Married,52413.0,0,2,56,295.0,81.0,271,75,98,65,4,6,4,12,6,0,0,55,11,0
108,Graduation,Single,38557.0,1,0,17,76.0,3.0,31,4,4,27,2,3,1,3,7,0,0,46,12,0
109,Master,Married,89058.0,0,0,18,454.0,81.0,106,31,22,43,1,5,4,4,2,0,0,64,12,0
110,Graduation,Together,77298.0,0,1,46,425.0,81.0,292,23,35,79,1,6,6,11,3,0,0,45,11,0
111,PhD,Single,68126.0,0,0,40,1225.0,17.0,311,23,51,86,1,7,4,5,9,0,1,33,12,1
112,Master,Together,57288.0,0,1,27,527.0,0.0,21,0,0,60,3,8,1,8,6,0,0,61,10,1
113,Graduation,Single,86037.0,0,0,95,490.0,44.0,125,29,20,22,1,6,7,11,3,0,1,33,11,2
114,PhD,Married,43974.0,1,0,19,378.0,0.0,101,0,0,72,5,6,4,6,7,0,0,44,12,0
115,Graduation,Single,50785.0,1,1,27,64.0,1.0,21,0,1,27,2,2,1,3,6,0,0,62,11,0
116,Graduation,Married,90765.0,0,0,25,547.0,81.0,812,151,82,33,0,4,6,5,1,0,0,54,10,2
117,2n Cycle,Married,36550.0,1,0,74,47.0,81.0,94,123,103,120,5,9,1,5,9,0,0,46,11,0
118,2n Cycle,Together,30753.0,1,1,85,12.0,5.0,25,0,9,30,2,1,1,3,5,0,0,57,11,0
119,Graduation,Together,21918.0,1,0,37,1.0,6.0,7,11,5,3,2,2,0,3,6,0,0,55,11,0
120,Master,Together,56129.0,0,1,65,320.0,48.0,133,39,72,48,4,6,2,10,4,0,0,71,11,0
121,Master,Single,32557.0,1,0,13,34.0,3.0,29,0,4,10,3,2,1,3,5,0,1,57,10,0
122,Master,Married,19510.0,2,0,63,9.0,0.0,7,3,4,7,2,1,0,3,7,0,0,39,11,0
123,Graduation,Divorced,30992.0,1,0,83,17.0,0.0,14,7,3,2,1,1,0,3,7,0,0,48,11,0
124,Graduation,Single,101970.0,0,0,69,722.0,27.0,102,44,72,168,0,6,8,13,2,0,1,41,11,3
125,2n Cycle,Together,71488.0,0,0,87,162.0,33.0,124,40,28,172,2,3,4,7,1,0,0,59,11,0
126,Graduation,Single,79607.0,0,0,37,450.0,81.0,951,173,0,216,1,3,6,6,1,0,1,40,11,0
127,Master,Married,54348.0,1,1,51,70.0,0.0,16,0,0,4,2,2,0,4,6,0,0,71,10,0
128,PhD,Married,51381.5,0,1,23,352.0,0.0,27,10,0,15,3,6,1,7,6,0,0,63,11,0
129,PhD,Together,77376.0,1,1,72,492.0,19.0,110,16,12,12,4,6,3,10,4,0,0,68,10,0
130,Graduation,Married,62998.0,0,1,10,120.0,58.0,73,65,89,58,5,5,4,5,5,0,0,72,11,0
131,Master,Alone,61331.0,1,1,42,534.0,5.0,47,0,5,41,5,11,1,6,8,0,0,66,11,0
132,Graduation,Married,73448.0,0,0,10,236.0,81.0,189,23,41,130,1,7,2,9,4,0,0,55,10,0
133,Graduation,Married,51381.5,0,1,96,231.0,65.0,196,38,71,124,1,6,5,7,4,0,0,61,11,0
134,PhD,Married,41551.0,1,1,51,220.0,0.0,33,3,0,23,5,5,1,5,8,0,0,60,11,0
135,PhD,Together,62981.0,0,0,21,796.0,14.0,590,38,44,0,1,4,5,13,3,0,0,57,11,1
136,Basic,Divorced,9548.0,1,0,31,0.0,1.0,3,10,6,9,2,1,0,3,8,0,0,48,12,0
137,PhD,Married,33762.0,2,1,61,53.0,1.0,34,2,0,16,3,2,2,2,8,0,0,65,11,0
138,PhD,Alone,35860.0,1,1,37,15.0,0.0,8,4,2,20,2,1,1,2,5,0,1,51,10,1
139,PhD,Divorced,36921.0,1,1,74,17.0,1.0,12,3,1,4,2,2,0,3,7,0,0,59,11,0
140,Master,Single,92859.0,0,0,46,962.0,61.0,921,52,61,20,1,5,4,12,2,0,0,32,12,0
141,Master,Together,65104.0,0,1,4,738.0,0.0,232,13,20,50,2,3,5,7,7,0,1,48,11,0
142,Graduation,Married,86111.0,0,0,73,399.0,28.0,756,36,40,126,1,5,7,10,2,0,0,62,11,0
143,PhD,Single,68352.0,0,1,47,614.0,16.0,132,43,33,33,3,8,5,9,6,0,0,50,11,0
144,Graduation,Together,41883.0,1,0,13,32.0,34.0,41,73,16,116,3,4,2,3,7,0,0,36,11,0
145,Graduation,Married,59809.0,0,2,36,598.0,16.0,141,32,41,49,3,3,3,6,8,0,0,48,12,0
146,Graduation,Married,23957.0,1,0,47,2.0,1.0,18,20,11,16,1,2,0,3,6,0,1,49,12,0
147,Graduation,Together,38547.0,1,0,49,6.0,1.0,10,0,1,4,1,1,0,2,8,1,0,43,11,0
148,2n Cycle,Married,35688.0,2,1,94,73.0,3.0,90,12,1,32,7,4,1,4,8,0,0,51,12,0
149,Master,Married,49605.0,0,0,65,42.0,16.0,29,12,20,8,1,2,1,4,3,0,0,58,10,0
150,Master,Married,59354.0,0,2,59,295.0,21.0,78,39,13,13,1,4,4,7,3,0,0,71,10,0
151,Graduation,Married,65747.0,0,1,96,346.0,17.0,48,23,13,13,4,8,1,6,6,0,0,55,10,1
152,2n Cycle,Together,46344.0,0,1,28,233.0,20.0,57,8,20,91,4,7,1,5,7,0,0,52,12,0
153,Graduation,Alone,34176.0,1,0,12,5.0,7.0,24,19,14,20,4,3,0,4,6,0,0,36,10,0
154,PhD,Together,61010.0,0,1,57,888.0,0.0,57,0,0,76,2,8,5,11,5,0,0,72,12,0
155,Graduation,Together,69372.0,0,0,10,997.0,26.0,269,34,13,42,1,10,4,6,4,0,1,75,11,2
156,Graduation,Single,49967.0,0,1,4,212.0,6.0,69,4,12,3,3,6,1,5,7,0,0,66,11,0
157,Graduation,Single,60199.0,1,2,49,8.0,1.0,7,2,0,0,1,0,0,3,4,0,0,46,11,0
158,Graduation,Together,55375.0,0,1,3,42.0,11.0,57,10,28,14,1,1,1,6,2,0,0,47,11,0
159,Graduation,Single,80317.0,0,0,64,536.0,11.0,387,149,91,57,1,3,4,10,1,0,0,69,11,0
160,Master,Single,30523.0,2,1,0,5.0,0.0,3,0,0,5,1,1,0,2,7,0,0,66,11,0
161,PhD,Married,70356.0,0,0,20,1225.0,16.0,249,43,16,33,2,10,6,9,6,0,0,79,12,0
162,Graduation,Married,23228.0,1,0,91,53.0,3.0,49,7,4,5,4,3,0,4,8,0,0,40,10,0
163,PhD,Divorced,74165.0,0,0,9,1001.0,12.0,240,16,12,12,1,5,4,10,2,0,0,49,11,0
164,PhD,Married,157243.0,0,1,98,20.0,2.0,1582,1,2,1,15,0,22,0,0,0,0,51,10,0
165,Graduation,Together,43482.0,2,1,83,18.0,1.0,32,6,3,28,3,2,0,4,6,0,0,58,11,0
166,Graduation,Divorced,62551.0,0,0,27,125.0,16.0,98,134,21,27,1,6,7,4,3,0,0,71,11,1
